Ref;Val;Package;PosX;PosY;Rot;Side
C1;0.1uF;C_0805_2012Metric;-23,241;-20,889;90;top
C2;0.1uF;C_0805_2012Metric;-20,508;-12,446;180;top
C3;10uF;C_0805_2012Metric;0,6858;-11,115;-90;top
C4;470uF;C_Elec_6.3x7.7;-3,1242;-17,6022;0;top
C5;0.1uF;C_0805_2012Metric;-2,413;-27,493;-90;top
C6;10uF;C_0805_2012Metric;-2,3876;-32,6034;-90;top
C7;0.1uF;C_0805_2012Metric;27,174;-42,3835;180;top
C8;10uF;C_0805_2012Metric;27,1932;-37,1602;0;top
C9;33pF;C_0805_2012Metric;-20,066;-16,891;180;top
C10;33pF;C_0805_2012Metric;-16,891;-20,381;-90;top
H5;MountingHole_Pad;Pin_D1.0mm_L10.0mm;5,9944;-5,0038;0;top
J1;USB_B_Micro;micro usb;-28,8798;-16,139;-90;top
J2;RJ45_LED_Shielded;RRJ45R08PC000;-23,6855;-37,1475;-90;top
J4;Conn_02x02_Odd_Even;PinHeader_2x02_P2.54mm_Vertical;-19,812;-9,271;180;top
J5;Conn_02x02_Odd_Even;PinHeader_2x02_P2.54mm_Vertical;-7,3914;-48,9966;180;top
LED1;TX;LED_0805_2012Metric;-15,8585;-6,063;0;top
LED2;RX;LED_0805_2012Metric;-15,8585;-3,637;0;top
Q1;BSS138;SOT-23W;-6,9198;-42,3176;180;top
Q2;BSS138;SOT-23W;-6,919798;-38,255092;180;top
Q3;BC847;SOT-23W;20,192;-21,463;0;top
Q4;BC847;SOT-23W;10,397;-21,463;180;top
R1;R10K;R_0805_2012Metric;-2,6693;-42,291;0;top
R2;R10K;R_0805_2012Metric;-2,6693;-38,2905;0;top
R3;R10K;R_0805_2012Metric;-11,3498;-42,343;180;top
R4;R10K;R_0805_2012Metric;-11,4023;-38,2145;180;top
R5;R100;R_0805_2012Metric;-13,9465;-21,717;180;top
R6;R100;R_0805_2012Metric;-17,8672;-45,9486;180;top
R7;R1K;R_0805_2012Metric;-12,0085;-6,063;180;top
R8;R1K;R_0805_2012Metric;-12,0085;-3,637;180;top
R9;R10K;R_0805_2012Metric;15,1195;-20,54;0;top
R10;R10K;R_0805_2012Metric;27,161;-34,705;180;top
R11;R10K;R_0805_2012Metric;15,1195;-22,826;180;top
R12;R10K;R_0805_2012Metric;27,1845;-39,7256;0;top
R13;R10K;R_0805_2012Metric;6,2295;-22,826;180;top
SW1;Fail safe;TS-1187;28,067;-28,609011;-90;top
SW2;Reset;TS-1187;28,058593;-18,415;90;top
U1;ESP32-WROOM;ESP32-WROOM-32E;14,9352;-36,576406;180;top
U3;CH340G;SOIC-16_3.9x9.9mm_P1.27mm;-14,0446;-12,8306;0;top
U4;AMS1117-3.3;SOT-223-3_TabPin2;-4,5466;-8,4205;90;top
U5;R-78E5.0;Converter_DCDC_RECOM_R-78E-0.5_THT;-6,4031;-31,657;90;top
Y1;Crystal_GND24_Small;Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm;-20,066;-20,574;-90;top
