"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"ESP32-WROOM-32E";1;"ESP32-WROOM";;;
2;"R10,R12,R13,R1,R2,R3,R4,R11,R9";"R_0805_2012Metric";9;"R10K";;;
3;"J5,J4";"PinHeader_2x02_P2.54mm_Vertical";2;"Conn_02x02_Odd_Even";;;
4;"C5,C7,C2,C1";"C_0805_2012Metric";4;"0.1uF";;;
5;"H2,H1,H3,H4";"MountingHole_2.5mm";4;"MountingHole";;;
6;"J1";"micro usb";1;"USB_B_Micro";;;
7;"Q2,Q1";"SOT-23W";2;"BSS138";;;
8;"R5,R6";"R_0805_2012Metric";2;"R100";;;
9;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
10;"U5";"Converter_DCDC_RECOM_R-78E-0.5_THT";1;"R-78E5.0";;;
11;"J2";"RRJ45R08PC000";1;"RJ45_LED_Shielded";;;
12;"C6,C3,C8";"C_0805_2012Metric";3;"10uF";;;
13;"Q4,Q3";"SOT-23W";2;"BC847";;;
14;"C4";"C_Elec_6.3x7.7";1;"470uF";;;
15;"SW1";"TS-1187";1;"Fail safe";;;
16;"C9,C10";"C_0805_2012Metric";2;"33pF";;;
17;"LED2";"LED_0805_2012Metric";1;"RX";;;
18;"R7,R8";"R_0805_2012Metric";2;"R1K";;;
19;"U3";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340G";;;
20;"Y1";"Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm";1;"Crystal_GND24_Small";;;
21;"H5";"Pin_D1.0mm_L10.0mm";1;"MountingHole_Pad";;;
22;"LED1";"LED_0805_2012Metric";1;"TX";;;
23;"SW2";"TS-1187";1;"Reset";;;
24;"U2";"CC1101-868MHz-Module";1;"CC1101-868MHz-Module";;;
