"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U5";"Mornsun 780xMT";1;"780xMT";;;
2;"C11,C6,C8";"C_0805_2012Metric";3;"10uF";;;
3;"U1";"ESP32-WROOM-32E";1;"ESP32-WROOM";;;
4;"R10,R12,R13,R1,R2,R3,R4,R11,R9";"R_0805_2012Metric";9;"R10K";;;
5;"J5,J4";"PinHeader_2x02_P2.54mm_Vertical";2;"Conn_02x02_Odd_Even";;;
6;"H2,H1,H3,H4";"MountingHole_2.5mm";4;"MountingHole";;;
7;"J1";"micro usb";1;"USB_B_Micro";;;
8;"C7,C2,C1";"C_0805_2012Metric";3;"0.1uF";;;
9;"Q2,Q1";"SOT-23W";2;"BSS138";;;
10;"R5,R6";"R_0805_2012Metric";2;"R100";;;
11;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
12;"J2";"RRJ45R08PC000";1;"RJ45_LED_Shielded";;;
13;"C3";"C_0805_2012Metric";1;"22uF";;;
14;"Q4,Q3";"SOT-23W";2;"BC847";;;
15;"C4";"C_Elec_6.3x7.7";1;"470uF";;;
16;"SW1";"TS-1187";1;"Fail safe";;;
17;"C9,C10";"C_0805_2012Metric";2;"33pF";;;
18;"LED2";"LED_0805_2012Metric";1;"RX";;;
19;"R7,R8";"R_0805_2012Metric";2;"R1K";;;
20;"U3";"SOIC-16_3.9x9.9mm_P1.27mm";1;"CH340G";;;
21;"Y1";"Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm";1;"Crystal_GND24_Small";;;
22;"H5";"Pin_D1.0mm_L10.0mm";1;"MountingHole_Pad";;;
23;"LED1";"LED_0805_2012Metric";1;"TX";;;
24;"SW2";"TS-1187";1;"Reset";;;
25;"U2";"CC1101-868MHz-Module";1;"CC1101-868MHz-Module";;;
