Designator;Mid X;Mid Y;Layer;Rotation
ATtiny1614;21,463000;-13,589000;top;0,000000
C1;21,392000;-7,366000;top;0,000000
Q1;39,624000;-15,875000;top;270,000000
Q2;35,626000;-15,875000;top;270,000000
R1;39,217600;-10,284000;top;270,000000
R2;35,814000;-10,284000;top;90,000000
R3;39,243000;-20,447000;top;270,000000
R4;35,814000;-20,447000;top;270,000000
R5;21,717000;-41,529000;top;0,000000
R6;15,113000;-12,621000;top;90,000000
STATUS1;25,908000;-36,449000;top;270,000000
