"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"DOUBLE_SIDED_TAB";1;"DOUBLE_SIDED_TAB";;;
2;"J1,J1";"PinHeader_2x05_P2.54mm_Horizontal";2;"Conn_02x05_Odd_Even_MountingPin";;;
3;"Address,Address";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";2;"SolderJumper_3_Open";;;
4;"U1,U1";"Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm";2;"SHT30-DIS";;;
5;"C1,C1";"C_0603_1608Metric";2;"C";;;
6;"R3,R4,R4,R3";"R_0603_1608Metric";4;"200";;;
7;"R2,R1,R5,R5,R2,R1";"R_0603_1608Metric";6;"5k6";;;
8;"REF**,REF**";"SINGLE_SIDED_TAB";2;"SINGLE_SIDED_TAB";;;
