"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R-78E3.3";"Converter_DCDC_RECOM_R-78E-0.5_THT";1;"U2";;;
2;"Q2,Q1";"SOT-23W";2;"BSS138";;;
3;"R2,R10,R4,R1,R3,R7,R8";"R_0805_2012Metric";7;"R10K";;;
4;"J1";"PinHeader_1x07_P2.54mm_Vertical";1;"CONN_01X07";;;
5;"U1";"ESP32-WROOM-32E";1;"ESP32-WROOM";;;
6;"R9,R5";"R_0805_2012Metric";2;"R100";;;
7;"H2,H3";"MountingHole_2.5mm";2;"MountingHole";;;
8;"LED1";"LED_0805_2012Metric";1;"WIFI status";;;
9;"J5";"PinHeader_2x02_P2.54mm_Vertical";1;"Conn_02x02_Odd_Even";;;
10;"J4";"TC2020-MCP-NL";1;"TC2030-MCP-NL";;;
11;"SW1";"TS-1187";1;"Fail safe";;;
12;"C6,C3";"C_0805_2012Metric";2;"10uF";;;
13;"C2";"C_0805_2012Metric";1;"1uF";;;
14;"C4";"C_Elec_6.3x7.7";1;"470uF";;;
15;"C5";"C_0805_2012Metric";1;"0.1uF";;;
16;"D2";"D_SOD-123";1;"D_Schottky";;;
17;"R11";"R_0805_2012Metric";1;"R1K";;;
18;"H1";"Pin_D1.0mm_L10.0mm";1;"MountingHole_Pad";;;
19;"LED2";"LED_0805_2012Metric";1;"itho status";;;
20;"SW2";"TS-1187";1;"Reset";;;
21;"J2";"PinSocket_2x04_P2.54mm_Vertical";1;"conn";;;
22;"J3";"SMA_Amphenol_132289_EdgeMount";1;"Conn_Coaxial";;;
23;"U2";"CC1101-868MHz-Module";1;"CC1101-868MHz-Module";;;
